Player,PS,GP,Min,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,+/-,OE,PER
j.holiday (nop),PG,34,1142,203,454,30,77,51,63,28,142,268,56,105,12,92,0,487,1,0,0,34,24,,17.19
j.teague (atl),PG,79,2546,456,1040,74,225,318,376,34,208,526,89,231,17,158,0,1304,2,0,0,79,117,,17.16
a.bogut (gsw),C,67,1770,235,375,0,0,22,64,181,670,113,48,97,119,210,3,492,7,0,0,67,308,,17.11
c.kaman (lal),C,39,736,176,346,0,3,52,68,54,229,58,11,74,40,93,1,404,2,0,0,13,-60,,17.06
a.varejao (cle),PF,65,1803,227,459,0,7,92,135,187,629,140,69,72,39,164,2,546,1,0,0,29,64,,17.05
s.dalembert (dal),C,80,1614,214,377,0,1,101,137,200,541,38,41,90,94,210,0,529,1,0,0,68,19,,16.88
m.ellis (dal),PG,82,3023,577,1279,69,209,339,430,38,295,470,141,263,23,197,0,1562,6,0,0,82,49,,16.83
k.walker (cha),PG,73,2617,449,1143,109,327,282,337,39,306,447,86,169,32,128,1,1289,4,0,0,73,132,,16.82
p.pierce (brk),SF,75,2101,321,712,112,300,256,310,26,348,178,86,153,31,190,0,1010,6,0,0,68,71,,16.81
m.beasley (mia),SF,55,833,177,355,21,54,61,79,31,172,41,23,57,21,93,1,436,0,0,0,2,-43,,16.8
t.mozgov (den),C,82,1774,285,545,4,24,196,260,171,528,62,27,122,100,213,3,770,5,0,0,30,23,,16.77
n.hilario (was),C,53,1562,299,594,1,5,155,266,65,294,153,64,117,48,164,2,754,3,0,0,37,117,,16.67
t.young (phi),SF,79,2717,582,1283,90,292,163,229,166,476,182,168,165,36,213,1,1417,3,0,0,78,-652,,16.64
j.redick (lac),SG,35,988,181,398,73,185,97,106,9,74,80,28,42,3,65,0,532,2,0,0,34,210,,16.64
b.knight (mil),PG,72,2407,461,1092,110,338,259,323,46,255,352,69,188,17,146,1,1291,3,0,0,69,-440,,16.59
t.splitter (sas),PF,59,1272,181,346,0,3,121,173,123,363,90,29,76,31,117,0,483,0,0,0,50,266,,16.58
g.dieng (min),C,60,821,113,227,1,1,59,93,103,300,39,30,54,50,108,0,286,0,0,0,15,-40,,16.58
g.green (pho),SG,82,2327,448,1006,204,510,195,230,47,274,122,70,145,42,220,3,1295,9,0,0,48,44,,16.55
t.harris (orl),SF,61,1847,332,716,32,126,197,244,88,424,82,41,78,24,143,1,893,1,0,0,36,-230,,16.54
k.koufos (mem),C,80,1351,227,459,0,0,60,93,160,418,39,32,68,71,182,1,514,3,0,0,22,37,,16.54
k.o'quinn (orl),PF,69,1186,186,371,0,3,57,83,100,364,78,39,78,88,165,1,429,1,0,0,19,-32,,16.52
t.chandler (nyk),C,55,1665,191,322,0,1,98,155,159,529,60,37,71,63,145,2,480,8,0,0,55,13,,16.48
